06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.peekType(KXmlParser.java:979)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:346)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:310)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader.parsePackets(PacketReader.java:321)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader.access$1(PacketReader.java:216)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader$1.run(PacketReader.java:70)
06-25 08:56:28.812   280 17423 I qtaguid : Failed write_ctrl(u 70) res=-1 errno=22
06-25 08:56:28.812   280 17423 I qtaguid : Untagging socket 70 failed errno=-22
06-25 08:56:28.812   280 17423 W NetworkManagementSocketTagger: untagSocket(70) failed with errno -22
06-25 08:56:59.558  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 08:56:59.562  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 08:56:59.570  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 08:56:59.660  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 08:56:59.660  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 08:56:59.664  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 08:56:59.671  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 08:56:59.711 16455 16457 D dalvikvm: GC_CONCURRENT freed 535K, 6% free 10368K/11015K, paused 2ms+3ms
06-25 08:57:00.089   211   214 D dalvikvm: GC_CONCURRENT freed 417K, 48% free 9677K/18311K, paused 1ms+3ms
06-25 08:57:29.035  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:57:29.035  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:57:29.035  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:57:29.070  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:57:29.070  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:57:29.070  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:57:29.109  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:57:29.109  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:57:29.109  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:57:29.765  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:57:29.765  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:57:29.765  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:57:30.527  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:57:30.527  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:57:30.527  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:57:30.925  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:57:30.925  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:57:30.925  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8c00 len=20
06-25 08:57:31.718  1795  1808 I PhoneLab-: Service Running
06-25 08:57:31.797  1795  1808 I PhoneLab-LoggerService: app_37    1165  1     2184   1748  c00f181c 400107b4 S logcat
06-25 08:57:31.797  1795  1808 I PhoneLab-LoggerService: Logcat pid from database 1165
06-25 08:57:31.797  1795  1808 I PhoneLab-LoggerService: Logcat process found 1165
06-25 08:57:31.797  1795  1808 I PhoneLab-LoggerService: Checking Threshold
06-25 08:57:31.797  1795  1808 I PhoneLab-LoggerService: Starting to rename files
06-25 08:57:31.797  1795  1808 I PhoneLab-LoggerService: Files found .. 2
06-25 08:57:31.797  1795  1808 I PhoneLab-LoggerService: File 1 log.out.1
06-25 08:57:31.804  1795  1808 I PhoneLab-LoggerService: Renamed successfully
06-25 08:57:46.015  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=1 ifi_flags=0x11043 ([UP][RUNNING][LOWER_UP])
06-25 08:57:46.015  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:57:46.015  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b15 len=20
06-25 08:57:46.015  1207  1207 D wpa_supplicant: Wireless event: new AP: 00:00:00:00:00:00
06-25 08:57:46.015  1207  1207 D wpa_supplicant: Added BSSID 58:35:d9:38:be:50 into blacklist
06-25 08:57:46.015  1207  1207 D wpa_supplicant: BSSID 58:35:d9:38:be:50 blacklist count incremented to 2
06-25 08:57:46.015  1207  1207 I wpa_supplicant: wlan0: CTRL-EVENT-DISCONNECTED bssid=58:35:d9:38:be:50 reason=0
06-25 08:57:46.015  1207  1207 D wpa_supplicant: wpa_driver_wext_set_key: alg=0 key_idx=0 set_tx=0 seq_len=0 key_len=0
06-25 08:57:46.015 17000 17017 D CommandListener: Clearing all IP addresses on wlan0
06-25 08:57:46.019  1207  1207 D wpa_supplicant: wpa_driver_wext_set_key: alg=0 key_idx=1 set_tx=0 seq_len=0 key_len=0
06-25 08:57:46.019  1207  1207 D wpa_supplicant: wpa_driver_wext_set_key: alg=0 key_idx=2 set_tx=0 seq_len=0 key_len=0
06-25 08:57:46.019  1207  1207 D wpa_supplicant: wpa_driver_wext_set_key: alg=0 key_idx=3 set_tx=0 seq_len=0 key_len=0
06-25 08:57:46.019  1207  1207 D wpa_supplicant: wpa_driver_wext_set_key: alg=0 key_idx=0 set_tx=0 seq_len=0 key_len=0
06-25 08:57:46.019  1207  1207 D wpa_supplicant: wpa_driver_wext_set_operstate: operstate 1->0 (DORMANT)
06-25 08:57:46.019  1207  1207 D wpa_supplicant: netlink: Operstate: linkmode=-1, operstate=5
06-25 08:57:46.023  1207  1207 D wpa_supplicant: EAPOL: External notification - portEnabled=0
06-25 08:57:46.023  1207  1207 D wpa_supplicant: EAPOL: SUPP_PAE entering state DISCONNECTED
06-25 08:57:46.023  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:46.023  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state INITIALIZE
06-25 08:57:46.023  1207  1207 D wpa_supplicant: EAP: EAP entering state DISABLED
06-25 08:57:46.023  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:46.023  1207  1207 D wpa_supplicant: EAPOL: External notification - portValid=0
06-25 08:57:46.023  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:46.023  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:57:46.023  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:57:46.035   142   198 D ConnectivityService: ConnectivityChange for WIFI: DISCONNECTED/DISCONNECTED
06-25 08:57:46.039   142   198 D ConnectivityService: Attempting to switch to mobile
06-25 08:57:46.039   142   198 D ConnectivityService: Attempting to switch to WIMAX
06-25 08:57:46.039   142   198 D ConnectivityService: Attempting to switch to BLUETOOTH_TETHER
06-25 08:57:46.047   142   198 E ConnectivityService: Exception trying to remove a route: java.lang.IllegalStateException: Unable to communicate with native dameon to add routes - com.android.server.NativeDaemonConnectorException: Cmd {interface route remove wlan0 default 128.205.223.254 32 0.0.0.0} failed with code 400 : {Failed to remove route from default table (No such process)}
06-25 08:57:46.050   142   198 D NetUtils: android_net_utils_resetConnections in env=0x5bb278 clazz=0x2d800001 iface=wlan0 mask=0x3
06-25 08:57:46.050   142   198 E ConnectivityService: Exception trying to remove a route: java.lang.IllegalStateException: Unable to communicate with native dameon to add routes - com.android.server.NativeDaemonConnectorException: Cmd {interface route remove wlan0 default 0.0.0.0 0 128.205.223.254} failed with code 400 : {Failed to remove route from default table (No such process)}
06-25 08:57:46.050   142   198 D ConnectivityService: resetConnections(wlan0, 3)
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS: Building WPS IE for Probe Request
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Version (hardcoded 0x10)
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Request Type
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Config Methods (2388)
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * UUID-E
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Primary Device Type
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * RF Bands (3)
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Association State
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Configuration Error (0)
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Device Password ID (0)
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Manufacturer
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Model Name
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Model Number
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Device Name
06-25 08:57:46.113  1207  1207 D wpa_supplicant: WPS:  * Version2 (0x20)
06-25 08:57:46.113  1207  1207 D wpa_supplicant: wpa_driver_wext_combo_scan: Start
06-25 08:57:46.113  1207  1207 D wpa_supplicant: For Scan: (null)
06-25 08:57:46.117  1207  1207 D wpa_supplicant: Scan requested (ret=0) - scan timeout 30 seconds
06-25 08:57:46.168   334   336 D dalvikvm: GC_CONCURRENT freed 425K, 7% free 9477K/10119K, paused 7ms+2ms
06-25 08:57:46.195   280 17468 W Smack/Packet: notify conn break (IOEx), close connection
06-25 08:57:46.199 16251 17485 W System.err: javax.net.ssl.SSLException: Write error: ssl=0x6224e8: I/O error during system call, Broken pipe
06-25 08:57:46.199 16251 17485 W System.err: 	at org.apache.harmony.xnet.provider.jsse.NativeCrypto.SSL_write(Native Method)
06-25 08:57:46.199 16251 17485 W System.err: 	at org.apache.harmony.xnet.provider.jsse.OpenSSLSocketImpl$SSLOutputStream.write(OpenSSLSocketImpl.java:713)
06-25 08:57:46.199 16251 17485 W System.err: 	at java.io.OutputStreamWriter.flushBytes(OutputStreamWriter.java:167)
06-25 08:57:46.199 16251 17485 W System.err: 	at java.io.OutputStreamWriter.flush(OutputStreamWriter.java:158)
06-25 08:57:46.199 16251 17485 W System.err: 	at java.io.BufferedWriter.flush(BufferedWriter.java:124)
06-25 08:57:46.199 16251 17485 W System.err: 	at org.jivesoftware.smack.PacketWriter.writePackets(PacketWriter.java:302)
06-25 08:57:46.199 16251 17485 W System.err: 	at org.jivesoftware.smack.PacketWriter.access$12(PacketWriter.java:270)
06-25 08:57:46.199 16251 17485 W System.err: 	at org.jivesoftware.smack.PacketWriter$1.run(PacketWriter.java:137)
06-25 08:57:46.222 16251 17486 W System.err: javax.net.ssl.SSLException: Read error: ssl=0x6224e8: I/O error during system call, Connection timed out
06-25 08:57:46.222 16251 17486 W System.err: 	at org.apache.harmony.xnet.provider.jsse.NativeCrypto.SSL_read(Native Method)
06-25 08:57:46.222 16251 17486 W System.err: 	at org.apache.harmony.xnet.provider.jsse.OpenSSLSocketImpl$SSLInputStream.read(OpenSSLSocketImpl.java:671)
06-25 08:57:46.226 16251 17486 W System.err: 	at java.io.InputStreamReader.read(InputStreamReader.java:244)
06-25 08:57:46.226 16251 17486 W System.err: 	at java.io.BufferedReader.read(BufferedReader.java:310)
06-25 08:57:46.226 16251 17486 W System.err: 	at org.jivesoftware.smack.XMPPConnection$AliveReader.read(XMPPConnection.java:1067)
06-25 08:57:46.226 16251 17486 W System.err: 	at org.kxml2.io.KXmlParser.fillBuffer(KXmlParser.java:1496)
06-25 08:57:46.226 16251 17486 W System.err: 	at org.kxml2.io.KXmlParser.peekType(KXmlParser.java:979)
06-25 08:57:46.226 16251 17486 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:346)
06-25 08:57:46.226 16251 17486 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:310)
06-25 08:57:46.226 16251 17486 W System.err: 	at org.jivesoftware.smack.PacketReader.parsePackets(PacketReader.java:321)
06-25 08:57:46.226 16251 17486 W System.err: 	at org.jivesoftware.smack.PacketReader.access$1(PacketReader.java:216)
06-25 08:57:46.226 16251 17486 W System.err: 	at org.jivesoftware.smack.PacketReader$1.run(PacketReader.java:70)
06-25 08:57:46.242   334   334 D SAN_SERVICE: *******************************************
06-25 08:57:46.242   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:57:46.242   334   334 D SAN_SERVICE: *******************************************
06-25 08:57:46.347   280 17468 I qtaguid : Failed write_ctrl(u 70) res=-1 errno=22
06-25 08:57:46.347   280 17468 I qtaguid : Untagging socket 70 failed errno=-22
06-25 08:57:46.347   280 17468 W NetworkManagementSocketTagger: untagSocket(70) failed with errno -22
06-25 08:57:46.355   142   198 D ConnectivityService: handleInetConditionChange: no active default network - ignore
06-25 08:57:46.597  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:57:46.597  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:57:46.597  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b19 len=8
06-25 08:57:46.597  1207  1207 D wpa_supplicant: Received 862 bytes of scan results (5 BSSes)
06-25 08:57:46.597  1207  1207 D wpa_supplicant: Removed BSSID 58:35:d9:38:be:50 from blacklist (clear)
06-25 08:57:46.597  1207  1207 D wpa_supplicant: Removed BSSID e8:40:40:ac:31:b0 from blacklist (clear)
06-25 08:57:46.597  1207  1207 D wpa_supplicant: Removed BSSID e8:40:40:78:8f:10 from blacklist (clear)
06-25 08:57:46.597  1207  1207 D wpa_supplicant: Removed BSSID 00:14:a9:c8:31:10 from blacklist (clear)
06-25 08:57:46.597  1207  1207 D wpa_supplicant: Removed BSSID 00:1a:a2:dc:8c:10 from blacklist (clear)
06-25 08:57:46.777   334   334 D SAN_SERVICE: *******************************************
06-25 08:57:46.777   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:57:46.777   334   334 D SAN_SERVICE: *******************************************
06-25 08:57:47.015  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:48.015  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:49.019  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:49.093   142   202 D Tethering: MasterInitialState.processMessage what=3
06-25 08:57:49.148 16596 16596 I MediaUploader: No need to wake up
06-25 08:57:49.152  1795  1795 I PhoneLab-WiFiReceiver: Wi-Fi is disconnected!
06-25 08:57:49.187 16368 16639 D PicasaSyncManager: active network: null
06-25 08:57:49.187 16368 16639 D PicasaSyncManager: background data: true
06-25 08:57:50.019  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:51.019  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:51.711   334   334 D SAN_SERVICE: *******************************************
06-25 08:57:51.711   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:57:51.711   334   334 D SAN_SERVICE: *******************************************
06-25 08:57:52.019  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:52.465   334   334 D SAN_SERVICE: *******************************************
06-25 08:57:52.465   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:57:52.465   334   334 D SAN_SERVICE: *******************************************
06-25 08:57:53.023  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:54.027  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:55.027  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:56.027  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:56.468   334   334 D SAN_SERVICE: *******************************************
06-25 08:57:56.468   334   334 D SAN_SERVICE: DM App Phone Service State - 0
06-25 08:57:56.468   334   334 D SAN_SERVICE: *******************************************
06-25 08:57:57.027  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:58.027  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:59.031  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:57:59.601  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 08:57:59.601  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 08:57:59.605  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 08:57:59.640  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 08:57:59.687 16455 16475 W System.err: java.net.UnknownHostException: Unable to resolve host "www.google.com": No address associated with hostname
06-25 08:57:59.722 16455 16475 W System.err: 	at java.net.InetAddress.lookupHostByName(InetAddress.java:426)
06-25 08:57:59.722 16455 16475 W System.err: 	at java.net.InetAddress.getAllByNameImpl(InetAddress.java:242)
06-25 08:57:59.722 16455 16475 W System.err: 	at java.net.InetAddress.getAllByName(InetAddress.java:220)
06-25 08:57:59.722 16455 16475 W System.err: 	at org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:137)
06-25 08:57:59.722 16455 16475 W System.err: 	at org.apache.http.impl.conn.AbstractPoolEntry.open(AbstractPoolEntry.java:164)
06-25 08:57:59.726 16455 16475 W System.err: 	at org.apache.http.impl.conn.AbstractPooledConnAdapter.open(AbstractPooledConnAdapter.java:119)
06-25 08:57:59.726 16455 16475 W System.err: 	at org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:452)
06-25 08:57:59.726 16455 16475 W System.err: 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
06-25 08:57:59.726 16455 16475 W System.err: 	at org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
06-25 08:57:59.726 16455 16475 W System.err: 	at android.net.http.AndroidHttpClient.execute(AndroidHttpClient.java:257)
06-25 08:57:59.726 16455 16475 W System.err: 	at f.a.a(SourceFile:202)
06-25 08:57:59.726 16455 16475 W System.err: 	at f.a.execute(SourceFile:244)
06-25 08:57:59.726 16455 16475 W System.err: 	at f.a.execute(SourceFile:312)
06-25 08:57:59.726 16455 16475 W System.err: 	at al.c.a(SourceFile:126)
06-25 08:57:59.726 16455 16475 W System.err: 	at al.c.f(SourceFile:172)
06-25 08:57:59.726 16455 16475 W System.err: 	at q.d.run(SourceFile:421)
06-25 08:57:59.726 16455 16475 W System.err: 	at q.c.c(SourceFile:227)
06-25 08:57:59.730 16455 16475 W System.err: 	at q.c.run(SourceFile:201)
06-25 08:57:59.730 16455 16475 W System.err: 	at an.c.run(SourceFile:96)
06-25 08:57:59.730 16455 16475 W System.err: Caused by: libcore.io.GaiException: getaddrinfo failed: EAI_NODATA (No address associated with hostname)
06-25 08:57:59.734 16455 16475 W System.err: 	at libcore.io.Posix.getaddrinfo(Native Method)
06-25 08:57:59.734 16455 16475 W System.err: 	at libcore.io.ForwardingOs.getaddrinfo(ForwardingOs.java:55)
06-25 08:57:59.734 16455 16475 W System.err: 	at java.net.InetAddress.lookupHostByName(InetAddress.java:411)
06-25 08:57:59.734 16455 16475 W System.err: 	... 18 more
06-25 08:57:59.804  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 4096
06-25 08:57:59.808  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd SETSUSPENDOPT 0 len = 0, 15
06-25 08:57:59.808  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd POWERMODE 0 len = 4096
06-25 08:57:59.820  1207  1207 D wpa_supplicant: wpa_driver_wext_driver_cmd OK len = 0, 2
06-25 08:57:59.879  1011  1014 D dalvikvm: GC_CONCURRENT freed 523K, 9% free 10328K/11271K, paused 2ms+3ms
06-25 08:58:00.031  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:58:00.140   142   144 D dalvikvm: GC_CONCURRENT freed 883K, 21% free 16418K/20679K, paused 6ms+7ms
06-25 08:58:01.031  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS: Building WPS IE for Probe Request
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Version (hardcoded 0x10)
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Request Type
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Config Methods (2388)
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * UUID-E
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Primary Device Type
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * RF Bands (3)
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Association State
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Configuration Error (0)
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Device Password ID (0)
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Manufacturer
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Model Name
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Model Number
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Device Name
06-25 08:58:01.597  1207  1207 D wpa_supplicant: WPS:  * Version2 (0x20)
06-25 08:58:01.597  1207  1207 D wpa_supplicant: wpa_driver_wext_combo_scan: Start
06-25 08:58:01.597  1207  1207 D wpa_supplicant: For Scan: (null)
06-25 08:58:01.722  1207  1207 D wpa_supplicant: Scan requested (ret=0) - scan timeout 30 seconds
06-25 08:58:02.031  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:58:02.207  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:58:02.207  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:02.207  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b19 len=8
06-25 08:58:02.215  1207  1207 D wpa_supplicant: Received 1476 bytes of scan results (8 BSSes)
06-25 08:58:02.230  1207  1207 D wpa_supplicant: wlan0: Request association: reassociate: 0  selected: d0:c2:82:2d:f2:a0  bssid: 00:00:00:00:00:00  pending: 00:00:00:00:00:00  wpa_state: SCANNING
06-25 08:58:02.230  1207  1207 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:2d:f2:a0 (SSID='UB_Secure' freq=2462 MHz)
06-25 08:58:02.234  1207  1207 D wpa_supplicant: wpa_driver_wext_set_operstate: operstate 0->0 (DORMANT)
06-25 08:58:02.234  1207  1207 D wpa_supplicant: netlink: Operstate: linkmode=-1, operstate=5
06-25 08:58:02.234  1207  1207 D wpa_supplicant: wpa_driver_wext_associate
06-25 08:58:02.238  1207  1207 D wpa_supplicant: wpa_driver_wext_set_drop_unencrypted
06-25 08:58:02.250  1207  1207 D wpa_supplicant: wpa_driver_wext_set_psk
06-25 08:58:02.359  1207  1207 D wpa_supplicant: EAPOL: External notification - EAP success=0
06-25 08:58:02.367  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:58:02.371  1207  1207 D wpa_supplicant: EAPOL: External notification - EAP fail=0
06-25 08:58:02.371  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:58:02.371  1207  1207 D wpa_supplicant: EAPOL: External notification - portControl=Auto
06-25 08:58:02.371  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:58:02.371  1207  1207 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-25 08:58:02.375  1207  1207 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-25 08:58:02.375  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:58:02.375  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:02.375  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b06 len=8
06-25 08:58:02.375  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:58:02.375  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:02.375  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b04 len=12
06-25 08:58:02.375  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:58:02.375  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:02.375  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b1a len=17
06-25 08:58:02.402  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:58:02.402  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:58:02.402  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b15 len=20
06-25 08:58:02.402  1207  1207 D wpa_supplicant: Wireless event: new AP: d0:c2:82:2d:f2:a0
06-25 08:58:02.402  1207  1207 D wpa_supplicant: wpa_driver_wext_set_operstate: operstate 0->0 (DORMANT)
06-25 08:58:02.402  1207  1207 D wpa_supplicant: netlink: Operstate: linkmode=-1, operstate=5
06-25 08:58:02.406  1207  1207 I wpa_supplicant: wlan0: Associated with d0:c2:82:2d:f2:a0
06-25 08:58:02.406  1207  1207 D wpa_supplicant: EAPOL: External notification - portEnabled=0
06-25 08:58:02.406  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:58:02.406  1207  1207 D wpa_supplicant: EAPOL: External notification - portValid=0
06-25 08:58:02.406  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
