06-19 14:05:56.963  9586 10390 D PicasaSyncManager: sync complete: SyncResult: stats []
06-19 14:32:37.634   328   331 D dalvikvm: GC_CONCURRENT freed 452K, 6% free 9467K/10055K, paused 13ms+2ms
06-19 14:32:51.489   328   328 D SAN_SERVICE: *******************************************
06-19 14:32:51.493   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:32:51.493   328   328 D SAN_SERVICE: *******************************************
06-19 14:32:51.727   328   328 D SAN_SERVICE: *******************************************
06-19 14:32:51.727   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:32:51.727   328   328 D SAN_SERVICE: *******************************************
06-19 14:32:56.591   328   328 D SAN_SERVICE: *******************************************
06-19 14:32:56.594   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:32:56.594   328   328 D SAN_SERVICE: *******************************************
06-19 14:32:56.860   328   328 D SAN_SERVICE: *******************************************
06-19 14:32:56.860   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:32:56.860   328   328 D SAN_SERVICE: *******************************************
06-19 14:32:57.415   328   328 D SAN_SERVICE: *******************************************
06-19 14:32:57.415   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:32:57.415   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:00.134   213   215 D dalvikvm: GC_CONCURRENT freed 544K, 48% free 10601K/20295K, paused 2ms+4ms
06-19 14:33:18.469   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:18.469   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:33:18.469   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:18.770   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:18.770   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:33:18.770   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:27.094   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:27.098   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:33:27.098   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:27.637   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:27.637   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:33:27.637   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:28.126   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:28.126   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:33:28.126   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:57.809   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:57.809   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:33:57.809   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:58.094   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:58.094   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:33:58.094   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:58.594   328   328 D SAN_SERVICE: *******************************************
06-19 14:33:58.594   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:33:58.594   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:08.294   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:08.294   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:08.294   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:09.091   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:09.091   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:09.091   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:15.216  8632  8645 I PhoneLab-: Service Running
06-19 14:34:15.298  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:34:15.298  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:34:15.298  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:34:15.298  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:34:15.302  8632  8635 D dalvikvm: GC_CONCURRENT freed 457K, 18% free 9214K/11207K, paused 2ms+2ms
06-19 14:34:23.411   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:23.411   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:23.411   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:23.673   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:23.673   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:23.673   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:24.196   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:24.196   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:24.196   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:33.895   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:33.895   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:33.895   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:34.692   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:34.692   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:34.692   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:42.954  8710  9602 I EventLogService: Aggregate from 1340129082846 (log), 1340129082846 (data)
06-19 14:34:44.145   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:44.145   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:44.145   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:44.641   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:44.641   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:44.641   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:50.294   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:50.294   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:50.294   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:54.380   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:54.380   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:54.380   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:59.505   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:59.505   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:34:59.505   328   328 D SAN_SERVICE: *******************************************
06-19 14:34:59.520   328   331 D dalvikvm: GC_CONCURRENT freed 400K, 6% free 9464K/10055K, paused 14ms+2ms
06-19 14:35:00.251  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:35:00.262  8632  8632 I PhoneLab-StatusMonitor: Status Monitoring is started
06-19 14:35:00.270   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:00.270   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:00.270   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:00.333  8632  8632 I PhoneLab-StatusMonitor: Value: 10 - unit: min
06-19 14:35:00.333  8632  8632 I PhoneLab-StatusMonitor: Running interval: 600000
06-19 14:35:00.337  8632  8635 D dalvikvm: GC_CONCURRENT freed 371K, 17% free 9354K/11207K, paused 2ms+9ms
06-19 14:35:00.344  8632  8632 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
06-19 14:35:00.344  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:35:00.352  8632  8632 I PhoneLab-StatusMonitorLocation: Learning Location
06-19 14:35:00.352  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:35:00.356  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:35:00.356  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 14:35:00.364  8632  8632 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
06-19 14:35:00.364  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:35:00.372  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 14:35:00.372  8632  8632 I PhoneLab-StatusMonitorBattery: Battery_level: 54
06-19 14:35:00.376  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:35:00.384  8632  8632 I PhoneLab-StatusMonitorSignal: Signal_Strength: -106 asu: 4
06-19 14:35:00.384  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:35:01.610  8710  8801 I WifiLocationEstimator: Not returning location for the following outliers: [239855706501001]
06-19 14:35:01.700  8710  8712 D dalvikvm: GC_CONCURRENT freed 487K, 6% free 10549K/11143K, paused 2ms+3ms
06-19 14:35:01.712  8632  8632 I PhoneLab-StatusMonitorLocation: Location_Latitude: 43.0022648 Longitude: -78.7870505 Accuracy: 57.0
06-19 14:35:01.712  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 14:35:01.712  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:35:02.958  8710  8801 I WifiLocationEstimator: Not returning location for the following outliers: [239855706501001]
06-19 14:35:04.634   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:04.634   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:04.634   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:10.255   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:10.255   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:10.255   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:10.782   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:10.782   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:10.782   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:14.860   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:14.860   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:14.860   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:30.216   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:30.216   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:30.216   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:30.227 10565 10586 D SCollector: Waiting for the ScannerThread to start.
06-19 14:35:30.231 10565 10655 D SCollector: PreScan started with config: Scanner types: [8]; ScanDuration: 10000, SensorDelay: 0, viewOptedOutWifiAps: false
06-19 14:35:30.231 10565 10655 D SCollector: aq started.
06-19 14:35:30.231 10565 10655 D SCollector: F started.
06-19 14:35:30.231 10565 10655 D SCollector: PreScanner started.
06-19 14:35:30.473   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:30.473   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:30.473   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:30.739 10565 10568 D dalvikvm: GC_CONCURRENT freed 617K, 7% free 10196K/10951K, paused 17ms+2ms
06-19 14:35:36.485   142  2000 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 14:35:40.227   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:40.227   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:40.227   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:40.243 10565 10565 D SCollector: aq stopped.
06-19 14:35:40.247 10565 10565 D SCollector: All scanner finished.
06-19 14:35:40.247 10565 10565 D SCollector: F stopped.
06-19 14:35:40.247   142   964 W ActivityManager: finishReceiver called but no pending broadcasts
06-19 14:35:40.282 10565 10655 D SCollector: PreScanning finished.
06-19 14:35:40.352 10565 10568 D dalvikvm: GC_CONCURRENT freed 353K, 6% free 10327K/10951K, paused 2ms+3ms
06-19 14:35:40.423 10565 10655 D SCollector: PreScanDecision returns false. Will not do real collection.
06-19 14:35:40.423 10565 10655 D SCollector: SignalCollector.ScannerThread is quiting.
06-19 14:35:41.005   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:41.005   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:41.005   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:43.266   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:43.266   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:43.266   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:44.032   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:44.032   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:44.032   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:47.884   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:47.884   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:47.884   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:48.118   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:48.118   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:48.118   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:53.028   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:53.028   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:53.028   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:53.298   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:53.298   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:53.298   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:54.055   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:54.055   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:54.055   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:55.762   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:55.762   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:55.762   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:56.063   328   328 D SAN_SERVICE: *******************************************
06-19 14:35:56.063   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:35:56.063   328   328 D SAN_SERVICE: *******************************************
06-19 14:36:00.704   328   328 D SAN_SERVICE: *******************************************
06-19 14:36:00.704   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:36:00.704   328   328 D SAN_SERVICE: *******************************************
06-19 14:36:15.216  8632  8645 I PhoneLab-: Service Running
06-19 14:36:15.286  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:36:15.286  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:36:15.286  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:36:15.286  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:37:02.134   142  3582 D AlarmManagerService: Kernel timezone updated to 240 minutes west of GMT
06-19 14:37:07.262   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:07.262   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:07.262   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:08.044   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:08.048   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:08.048   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:12.677   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:12.677   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:12.677   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:12.696   328   331 D dalvikvm: GC_CONCURRENT freed 384K, 6% free 9464K/10055K, paused 2ms+3ms
06-19 14:37:27.981   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:27.981   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:27.981   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:28.782   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:28.782   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:28.782   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:37.981   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:37.981   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:37.981   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:38.735   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:38.739   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:38.739   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:38.954   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:38.954   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:38.954   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:48.216   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:48.216   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:48.216   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:48.454   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:48.458   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:48.458   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:48.805   328   328 D SAN_SERVICE: *******************************************
06-19 14:37:48.805   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:37:48.805   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:05.204   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:05.204   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:38:05.204   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:08.950   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:08.950   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:38:08.950   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:09.716   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:09.716   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:38:09.716   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:09.938   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:09.938   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:38:09.938   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:15.216  8632  8645 I PhoneLab-: Service Running
06-19 14:38:15.282  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:38:15.282  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:38:15.282  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:38:15.282  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:38:18.962   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:18.962   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:38:18.962   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:29.184   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:29.184   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:38:29.184   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:29.466   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:29.469   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:38:29.469   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:30.223   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:30.223   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:38:30.223   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:54.786   328   328 D SAN_SERVICE: *******************************************
06-19 14:38:54.790   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:38:54.790   328   328 D SAN_SERVICE: *******************************************
06-19 14:39:15.501   328   328 D SAN_SERVICE: *******************************************
06-19 14:39:15.501   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:39:15.501   328   328 D SAN_SERVICE: *******************************************
06-19 14:39:15.751   328   328 D SAN_SERVICE: *******************************************
06-19 14:39:15.751   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:39:15.751   328   328 D SAN_SERVICE: *******************************************
06-19 14:39:16.266   328   328 D SAN_SERVICE: *******************************************
06-19 14:39:16.266   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:39:16.266   328   328 D SAN_SERVICE: *******************************************
06-19 14:39:16.802   328   328 D SAN_SERVICE: *******************************************
06-19 14:39:16.802   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:39:16.802   328   328 D SAN_SERVICE: *******************************************
06-19 14:39:25.512   328   328 D SAN_SERVICE: *******************************************
06-19 14:39:25.512   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:39:25.512   328   328 D SAN_SERVICE: *******************************************
06-19 14:40:15.216  8632  8645 I PhoneLab-: Service Running
06-19 14:40:15.321  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:40:15.321  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:40:15.321  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:40:15.321  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:41:28.645   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:28.645   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:41:28.645   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:28.669   328   331 D dalvikvm: GC_CONCURRENT freed 397K, 6% free 9463K/10055K, paused 19ms+2ms
06-19 14:41:28.934   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:28.934   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:41:28.934   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:42.755 10565 10568 D dalvikvm: GC_CONCURRENT freed 512K, 7% free 10268K/10951K, paused 2ms+2ms
06-19 14:41:48.868   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:48.868   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:41:48.868   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:49.114   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:49.114   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:41:49.114   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:49.364   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:49.364   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:41:49.368   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:50.153   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:50.153   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:41:50.153   328   328 D SAN_SERVICE: *******************************************
06-19 14:41:53.895   304   304 I wpa_supplicant: wlan0: WPA: Group rekeying completed with d0:c2:82:2d:e4:b0 [GTK=TKIP]
06-19 14:42:00.165   142   144 D dalvikvm: GC_CONCURRENT freed 1294K, 23% free 15462K/20039K, paused 6ms+7ms
06-19 14:42:04.251   328   328 D SAN_SERVICE: *******************************************
06-19 14:42:04.251   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:42:04.251   328   328 D SAN_SERVICE: *******************************************
06-19 14:42:05.024   328   328 D SAN_SERVICE: *******************************************
06-19 14:42:05.024   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:42:05.024   328   328 D SAN_SERVICE: *******************************************
06-19 14:42:10.973   328   328 D SAN_SERVICE: *******************************************
06-19 14:42:10.973   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:42:10.977   328   328 D SAN_SERVICE: *******************************************
06-19 14:42:15.216  8632  8645 I PhoneLab-: Service Running
06-19 14:42:15.286  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:42:15.286  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:42:15.286  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:42:15.286  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:42:40.083   328   328 D SAN_SERVICE: *******************************************
06-19 14:42:40.083   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:42:40.083   328   328 D SAN_SERVICE: *******************************************
06-19 14:44:15.216  8632  8645 I PhoneLab-: Service Running
06-19 14:44:15.286  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:44:15.286  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:44:15.286  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:44:15.286  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:45:00.352  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:45:00.368  8632  8632 I PhoneLab-StatusMonitor: Status Monitoring is started
06-19 14:45:00.423  8632  8635 D dalvikvm: GC_CONCURRENT freed 617K, 18% free 9248K/11207K, paused 1ms+2ms
06-19 14:45:00.446  8632  8632 I PhoneLab-StatusMonitor: Value: 10 - unit: min
06-19 14:45:00.446  8632  8632 I PhoneLab-StatusMonitor: Running interval: 600000
06-19 14:45:00.454  8632  8632 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
06-19 14:45:00.454  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:45:00.458  8632  8632 I PhoneLab-StatusMonitorLocation: Learning Location
06-19 14:45:00.458  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:45:00.462  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:45:00.466  8632  8632 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
06-19 14:45:00.466  8632  8632 I PhoneLab-Locks: wake lock acquired
06-19 14:45:00.466  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 14:45:00.473  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 14:45:00.477  8632  8632 I PhoneLab-StatusMonitorBattery: Battery_level: 59
06-19 14:45:00.477  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:45:00.485  8632  8632 I PhoneLab-StatusMonitorSignal: Signal_Strength: -106 asu: 4
06-19 14:45:00.485  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:45:01.704  8710  8801 I WifiLocationEstimator: Not returning location for the following outliers: [239855706501001]
06-19 14:45:01.782  8710  8712 D dalvikvm: GC_CONCURRENT freed 534K, 6% free 10527K/11143K, paused 2ms+3ms
06-19 14:45:01.798  8632  8632 I PhoneLab-StatusMonitorLocation: Location_Latitude: 43.0021703 Longitude: -78.7871637 Accuracy: 40.0
06-19 14:45:01.802  8710  8794 D androidNetworkLocationListeners: Still have listener com.google.android.location.internal.client.NetworkLocationClient$1@41373fe8
06-19 14:45:01.802  8632  8632 I PhoneLab-Locks: wake lock released
06-19 14:45:03.052  8710  8801 I WifiLocationEstimator: Not returning location for the following outliers: [239855706501001]
06-19 14:46:15.216  8632  8645 I PhoneLab-: Service Running
06-19 14:46:15.286  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:46:15.286  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:46:15.286  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:46:15.286  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:48:15.216  8632  8645 I PhoneLab-: Service Running
06-19 14:48:15.298  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:48:15.298  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:48:15.298  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:48:15.298  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:48:15.305  8632  8635 D dalvikvm: GC_CONCURRENT freed 444K, 18% free 9210K/11207K, paused 1ms+2ms
06-19 14:48:54.884 10287 10289 D dalvikvm: GC_CONCURRENT freed 318K, 4% free 10421K/10823K, paused 1ms+2ms
