04-23 21:51:16.148 19618 19620 D dalvikvm: GC_CONCURRENT freed 423K, 10% free 9891K/10951K, paused 2ms+2ms
04-23 21:51:16.215 19618 19620 D dalvikvm: GC_CONCURRENT freed 392K, 10% free 9923K/10951K, paused 3ms+2ms
04-23 21:51:16.258 19618 19620 D dalvikvm: GC_CONCURRENT freed 351K, 9% free 10050K/10951K, paused 2ms+4ms
04-23 21:51:16.289 19618  7860 D dalvikvm: GC_FOR_ALLOC freed 472K, 10% free 9958K/10951K, paused 16ms
04-23 21:51:16.340 19618 19620 D dalvikvm: GC_CONCURRENT freed 274K, 8% free 10131K/10951K, paused 2ms+2ms
04-23 21:51:16.582 19618  7860 D dalvikvm: GC_EXPLICIT freed 337K, 10% free 9943K/10951K, paused 2ms+3ms
04-23 23:36:46.949  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 23:36:46.949  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:36:46.953  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 23:36:46.953  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:36:46.953  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 23:36:46.953  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:37:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:37:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:37:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:37:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:37:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:38:26.543  5145  5148 D dalvikvm: GC_CONCURRENT freed 406K, 12% free 10525K/11911K, paused 2ms+7ms
04-23 23:39:11.449  5820  8357 V PicasaContentProvider: querySettings: defaults: {sync_on_wifi_only=1, auto_upload_account_type=null, sync_on_battery=1, sync_picasa_on_wifi_only=1, auto_upload_enabled=0, video_upload_wifi_only=1, sync_on_roaming=0, auto_upload_account_name=null}
04-23 23:39:13.238  5820  5823 D dalvikvm: GC_CONCURRENT freed 341K, 13% free 10075K/11463K, paused 2ms+6ms
04-23 23:39:14.000  5820  5823 D dalvikvm: GC_CONCURRENT freed 349K, 12% free 10122K/11463K, paused 2ms+15ms
04-23 23:39:17.000  5820  5823 D dalvikvm: GC_CONCURRENT freed 438K, 13% free 10070K/11463K, paused 15ms+3ms
04-23 23:39:18.996  5820  5823 D dalvikvm: GC_CONCURRENT freed 372K, 12% free 10098K/11463K, paused 2ms+3ms
04-23 23:39:19.141  5820  5823 D dalvikvm: GC_CONCURRENT freed 412K, 13% free 10086K/11463K, paused 1ms+3ms
04-23 23:39:19.289  5820  5823 D dalvikvm: GC_CONCURRENT freed 389K, 12% free 10098K/11463K, paused 2ms+3ms
04-23 23:39:21.898  5820  5823 D dalvikvm: GC_CONCURRENT freed 451K, 13% free 10047K/11463K, paused 1ms+3ms
04-23 23:39:25.566  5820  5823 D dalvikvm: GC_CONCURRENT freed 295K, 12% free 10178K/11463K, paused 2ms+3ms
04-23 23:39:25.859  5820  5823 D dalvikvm: GC_CONCURRENT freed 359K, 11% free 10213K/11463K, paused 14ms+3ms
04-23 23:39:26.098  5820  5823 D dalvikvm: GC_CONCURRENT freed 252K, 10% free 10348K/11463K, paused 2ms+6ms
04-23 23:39:26.375  5820  5823 D dalvikvm: GC_CONCURRENT freed 350K, 10% free 10386K/11463K, paused 2ms+4ms
04-23 23:39:26.766  5820  5823 D dalvikvm: GC_CONCURRENT freed 408K, 10% free 10374K/11463K, paused 1ms+3ms
04-23 23:39:27.422  5820  5823 D dalvikvm: GC_CONCURRENT freed 305K, 9% free 10466K/11463K, paused 2ms+10ms
04-23 23:39:27.582  5820  5823 D dalvikvm: GC_CONCURRENT freed 354K, 9% free 10510K/11463K, paused 2ms+3ms
04-23 23:39:27.750  5820  5823 D dalvikvm: GC_CONCURRENT freed 384K, 9% free 10514K/11463K, paused 5ms+2ms
04-23 23:39:27.914  5820  5823 D dalvikvm: GC_CONCURRENT freed 394K, 9% free 10518K/11463K, paused 2ms+2ms
04-23 23:39:28.371  6263  6265 D dalvikvm: GC_CONCURRENT freed 378K, 9% free 9741K/10695K, paused 2ms+4ms
04-23 23:39:28.891  5820  5823 D dalvikvm: GC_CONCURRENT freed 866K, 13% free 10035K/11463K, paused 2ms+5ms
04-23 23:39:29.976  5820  5823 D dalvikvm: GC_CONCURRENT freed 364K, 12% free 10128K/11463K, paused 9ms+3ms
04-23 23:39:30.766  5820  5823 D dalvikvm: GC_CONCURRENT freed 430K, 12% free 10106K/11463K, paused 4ms+2ms
04-23 23:39:30.836  6263  6265 D dalvikvm: GC_CONCURRENT freed 213K, 8% free 9942K/10695K, paused 1ms+5ms
04-23 23:39:36.051  5820  5823 D dalvikvm: GC_CONCURRENT freed 456K, 13% free 10035K/11463K, paused 19ms+2ms
04-23 23:39:36.156   145  8981 D dalvikvm: GC_EXPLICIT freed 1326K, 19% free 16040K/19783K, paused 7ms+7ms
04-23 23:39:36.226  6263  6265 D dalvikvm: GC_CONCURRENT freed 647K, 10% free 9680K/10695K, paused 2ms+4ms
04-23 23:39:37.984  6263  6265 D dalvikvm: GC_CONCURRENT freed 134K, 8% free 9940K/10695K, paused 2ms+4ms
04-23 23:39:39.246  5820  5823 D dalvikvm: GC_CONCURRENT freed 381K, 13% free 10052K/11463K, paused 2ms+5ms
04-23 23:39:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:39:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:39:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:39:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:39:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:41:03.457   291   291 I wpa_supplicant: wlan0: WPA: Group rekeying completed with d0:c2:82:66:6b:f1 [GTK=TKIP]
04-23 23:41:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:41:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:41:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:41:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:41:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:41:46.976  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:41:46.988  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 23:41:47.035  4972  4975 D dalvikvm: GC_CONCURRENT freed 520K, 15% free 9245K/10823K, paused 1ms+5ms
04-23 23:41:47.062  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 23:41:47.062  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 23:41:47.078  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 23:41:47.094  4972  4983 D dalvikvm: GC_EXPLICIT freed 376K, 15% free 9215K/10823K, paused 2ms+2ms
04-23 23:41:47.094  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:41:47.094  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 23:41:47.094  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:41:47.098  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:41:47.101  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 23:41:47.101  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:41:47.105  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 23:41:47.105  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:41:47.109  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 23:41:47.109  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:43:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:43:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:43:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:43:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:43:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:45:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:45:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:45:44.058  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:45:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:45:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:46:47.129  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:46:47.137  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 23:46:47.183  4972  4975 D dalvikvm: GC_CONCURRENT freed 477K, 15% free 9249K/10823K, paused 2ms+2ms
04-23 23:46:47.191  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 23:46:47.191  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 23:46:47.203  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 23:46:47.207  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:46:47.207  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 23:46:47.207  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:46:47.211  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:46:47.215  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 23:46:47.215  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:46:47.219  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 23:46:47.219  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:46:47.219  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 23:46:47.219  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:47:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:47:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:47:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:47:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:47:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:49:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:49:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:49:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:49:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:49:44.066  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:50:15.426   145   161 V BackupManagerService: Running a backup pass
04-23 23:50:15.437   145   214 V BackupManagerService: Backup requested but nothing pending
04-23 23:51:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:51:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:51:44.058  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:51:44.058  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:51:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:51:47.242  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:51:47.246  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 23:51:47.312  4972  4975 D dalvikvm: GC_CONCURRENT freed 488K, 15% free 9272K/10823K, paused 2ms+5ms
04-23 23:51:47.344  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 23:51:47.344  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 23:51:47.351  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 23:51:47.351  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:51:47.355  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 23:51:47.355  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:51:47.355  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:51:47.359  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 23:51:47.359  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:51:47.363  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 23:51:47.363  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:51:47.367  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 23:51:47.367  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:52:00.086   215   217 D dalvikvm: GC_CONCURRENT freed 386K, 19% free 9659K/11783K, paused 6ms+4ms
04-23 23:52:37.824 19618  8405 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2508105, normalSync: true
04-23 23:52:40.594 19618 19620 D dalvikvm: GC_CONCURRENT freed 405K, 11% free 9770K/10951K, paused 13ms+2ms
04-23 23:52:40.734 19618  8405 D dalvikvm: GC_EXPLICIT freed 282K, 12% free 9742K/10951K, paused 1ms+2ms
04-23 23:52:40.742 19618  8405 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2508165, normalSync: true
04-23 23:52:41.367 19618  8405 D dalvikvm: GC_EXPLICIT freed 252K, 11% free 9775K/10951K, paused 2ms+3ms
04-23 23:52:41.371 19618  8405 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2508166, normalSync: true
04-23 23:52:41.383 19618  8405 W Gmail   : Scheduling index for 300000 ms from now
04-23 23:52:41.402 19618  8405 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^i (has extras) }
04-23 23:52:41.426 19618  8405 I Gmail   : Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://gmail-ls/unread/^iim (has extras) }
04-23 23:53:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:53:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:53:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:53:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:53:44.066  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:55:38.023 19618  8435 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2508166, normalSync: true
04-23 23:55:38.512 19618  8435 D dalvikvm: GC_EXPLICIT freed 204K, 11% free 9763K/10951K, paused 4ms+3ms
04-23 23:55:38.516 19618  8435 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2508177, normalSync: true
04-23 23:55:38.523 19618  8435 W Gmail   : Scheduling index for 300000 ms from now
04-23 23:55:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:55:44.082  4972  4975 D dalvikvm: GC_CONCURRENT freed 444K, 15% free 9224K/10823K, paused 1ms+6ms
04-23 23:55:44.086  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:55:44.086  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:55:44.090  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:55:44.090  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:56:47.375  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:56:47.398  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 23:56:47.457  4972  4975 D dalvikvm: GC_CONCURRENT freed 381K, 14% free 9354K/10823K, paused 2ms+12ms
04-23 23:56:47.465  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 23:56:47.465  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 23:56:47.496  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 23:56:47.496  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:56:47.500  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 23:56:47.500  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:56:47.504  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:56:47.504  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 23:56:47.504  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:56:47.512  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 23:56:47.512  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:56:47.512  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 23:56:47.512  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:57:06.754  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 23:57:06.769  4972  8440 I PhoneLab-PeriodicCheckService: User info is synched
04-23 23:57:06.777  4972  8440 I PhoneLab-PeriodicCheckService: Logger Service is running
04-23 23:57:06.777  4972  8440 I PhoneLab-Locks: wake lock acquired
04-23 23:57:06.781  4972  4972 I PhoneLab-UploadLogs: Transfering log files now
04-23 23:57:06.781  4972  4972 I PhoneLab-UploadLogs: No log files to transfer
04-23 23:57:06.781  4972  4972 I PhoneLab-Locks: wake lock released
04-23 23:57:06.781  4972  4972 I PhoneLab-UploadLogs: OnStartCommand
04-23 23:57:06.781  4972  8440 I PhoneLab-PeriodicCheckService: Rescheduling periodic checking...
04-23 23:57:06.781  4972  8440 I PhoneLab-Locks: wake lock released
04-23 23:57:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:57:44.066  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:57:44.066  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:57:44.066  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:57:44.066  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 23:59:44.012  4972  4985 I PhoneLab-: Service Running
04-23 23:59:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 23:59:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 23:59:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 23:59:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 00:00:00.047   145   162 I ActivityManager: Start proc com.google.android.calendar for broadcast com.google.android.calendar/com.android.calendar.widget.CalendarAppWidgetService$CalendarFactory: pid=8443 uid=10052 gids={3003}
04-24 00:00:00.226  8443  8443 I ActivityThread: Pub com.google.android.calendar.CalendarRecentSuggestionsProvider: com.android.calendar.CalendarRecentSuggestionsProvider
04-24 00:00:00.582   145 30950 I ActivityManager: No longer want com.android.providers.calendar (pid 5599): hidden #16
04-24 00:00:00.691   145  6877 I UsageStats: No package stats for pkg:com.android.launcher
04-24 00:00:00.723   145  8981 I ActivityManager: Start proc com.android.providers.calendar for content provider com.android.providers.calendar/.CalendarProvider2: pid=8459 uid=10053 gids={3003, 1015}
04-24 00:00:00.750   145   145 I ActivityManager: No longer want com.android.chrome (pid 7081): hidden #16
04-24 00:00:00.789  8459  8459 I ActivityThread: Pub com.android.calendar: com.android.providers.calendar.CalendarProvider2
04-24 00:00:00.851   145   147 D dalvikvm: GC_CONCURRENT freed 1717K, 19% free 16074K/19783K, paused 5ms+14ms
04-24 00:00:00.887   145 30949 W ActivityManager: Scheduling restart of crashed service com.android.chrome/.sync.ChromeSyncInvalidationListener in 5000ms
04-24 00:00:00.887   145 30949 W ActivityManager: Scheduling restart of crashed service com.android.chrome/com.google.ipc.invalidation.ticl.android.AndroidInvalidationService in 15000ms
04-24 00:00:01.183  8443  8445 D dalvikvm: GC_CONCURRENT freed 291K, 5% free 9186K/9607K, paused 3ms+2ms
04-24 00:00:01.933  8459  8459 I CalendarProvider2: Sending notification intent: Intent { act=android.intent.action.PROVIDER_CHANGED dat=content://com.android.calendar }
04-24 00:00:01.933  8459  8459 W ContentResolver: Failed to get type for: content://com.android.calendar (Unknown URL content://com.android.calendar)
04-24 00:00:05.922  8478  8478 D dalvikvm: Late-enabling CheckJNI
04-24 00:00:05.926   145   162 I ActivityManager: Start proc com.android.chrome for service com.android.chrome/.sync.ChromeSyncInvalidationListener: pid=8478 uid=10055 gids={3003, 1015}
04-24 00:00:06.113  8478  8478 I ActivityThread: Pub com.android.chrome.ChromeBrowserProvider;com.android.chrome.browser;com.android.chrome: com.android.chrome.ChromeBrowserProvider
04-24 00:00:06.133  8478  8478 I ActivityThread: Pub com.android.chrome.snapshot: com.android.chrome.snapshot.SnapshotProvider
04-24 00:00:06.172  8478  8493 V ChromeSyncInvalidationListener: loaded enabled types - [ALL_TYPES]
04-24 00:00:06.262  8478  8480 D dalvikvm: GC_CONCURRENT freed 224K, 4% free 9307K/9607K, paused 13ms+2ms
04-24 00:00:06.383  8478  8478 D C2DM    : Initialized
04-24 00:00:06.433  8478  8497 I InvC2DMReceiver: C2DM Registration received
04-24 00:00:06.547  8478  8493 I InvalidationClientImpl: [chromesync#1604387069] Created client: Client: com.google.protos.ipc.invalidation.ClientProtocol$ApplicationClientIdP@4139beb8, null
04-24 00:00:06.547  8478  8493 I BasicSystemResources: [chromesync#1604387069] Resources started
04-24 00:00:06.547  8478  8493 I InvalidationClientImpl: [chromesync#1604387069] Starting with Java config: com.google.protos.ipc.invalidation.ClientProtocol$ClientConfigP@4136a7d0
04-24 00:00:06.558  8478  8480 D dalvikvm: GC_CONCURRENT freed 400K, 5% free 9381K/9863K, paused 2ms+3ms
04-24 00:00:06.562  8478  8500 W InvalidationClientImpl: [chromesync#1604387069] Could not read state blob: No value in map for ClientToken
04-24 00:00:06.562  8478  8500 I InvalidationClientImpl: [chromesync#1604387069] Starting with no previous state
04-24 00:00:06.570  8478  8500 I ProtocolHandler: [chromesync#1604387069] Batching initialize message for client: AcquireToken, com.google.protos.ipc.invalidation.ClientProtocol$InitializeMessage@4134e998
04-24 00:01:06.601  8478  8500 I ProtocolHandler: [chromesync#1604387069] Batching initialize message for client: AcquireToken, com.google.protos.ipc.invalidation.ClientProtocol$InitializeMessage@413c3b00
04-24 00:01:06.648  8478  8480 D dalvikvm: GC_CONCURRENT freed 336K, 5% free 9471K/9927K, paused 13ms+1ms
04-24 00:01:23.750   270   270 D dalvikvm: GC_EXPLICIT freed 270K, 8% free 11060K/11911K, paused 2ms+3ms
04-24 00:01:23.758   270  1101 I EventLogService: Aggregate from 1335238283629 (log), 1335238283629 (data)
04-24 00:01:44.012  4972  4985 I PhoneLab-: Service Running
04-24 00:01:44.086  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 00:01:44.090  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 00:01:44.090  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 00:01:44.090  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 00:01:47.519  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 00:01:47.543  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 00:01:47.590  4972  4975 D dalvikvm: GC_CONCURRENT freed 602K, 15% free 9262K/10823K, paused 2ms+2ms
04-24 00:01:47.609  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 00:01:47.609  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 00:01:47.613  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 00:01:47.617  4972  4972 I PhoneLab-Locks: wake lock released
04-24 00:01:47.617  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 00:01:47.617  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 00:01:47.621  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 00:01:47.625  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 00:01:47.625  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 00:01:47.629  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 00:01:47.629  4972  4972 I PhoneLab-Locks: wake lock released
04-24 00:01:47.629  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 00:01:47.629  4972  4972 I PhoneLab-Locks: wake lock released
04-24 00:03:01.668  8478  8500 I ProtocolHandler: [chromesync#1604387069] Batching initialize message for client: AcquireToken, com.google.protos.ipc.invalidation.ClientProtocol$InitializeMessage@41354220
04-24 00:03:44.012  4972  4985 I PhoneLab-: Service Running
04-24 00:03:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 00:03:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 00:03:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 00:03:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 00:04:37.152  8478  8500 I ProtocolHandler: [chromesync#1604387069] Batching initialize message for client: AcquireToken, com.google.protos.ipc.invalidation.ClientProtocol$InitializeMessage@4133b028
04-24 00:05:44.012  4972  4985 I PhoneLab-: Service Running
04-24 00:05:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-24 00:05:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 00:05:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 00:05:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 00:06:47.641  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 00:06:47.664  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 00:06:47.711  4972  4975 D dalvikvm: GC_CONCURRENT freed 549K, 15% free 9224K/10823K, paused 2ms+5ms
04-24 00:06:47.734  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 00:06:47.734  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 00:06:47.742  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 00:06:47.742  4972  4972 I PhoneLab-Locks: wake lock released
04-24 00:06:47.742  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 00:06:47.746  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 00:06:47.746  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 00:06:47.750  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 00:06:47.750  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 00:06:47.754  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 00:06:47.754  4972  4972 I PhoneLab-Locks: wake lock released
04-24 00:06:47.754  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 00:06:47.754  4972  4972 I PhoneLab-Locks: wake lock released
